RK,Team,REC,PTS,TREND,Last Week,Next Week,link,name,Week,Poll Type,Rank
22,TEXTexas,2-1,228,13,"vs TCU<span class=""red""> L </span>33-31 ","vs Oklahoma<span class=""red""> L </span>53-45 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&w=40&h=40,Texas,6,AP Poll,22
23,ULLouisiana,3-0,216,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&w=40&h=40,Louisiana,6,AP Poll,23
24,ISUIowa State,2-1,215,NR,"vs #18 Oklahoma<span class=""green""> W </span>37-30 ","vs Texas Tech<span class=""green""> W </span>31-15 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&w=40&h=40,Iowa State,6,AP Poll,24
25,MINNMinnesota,0-0,145,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&w=40&h=40,Minnesota,6,AP Poll,25
1,CLEMClemson(59),4-0,1546,-,"vs #7 Miami<span class=""green""> W </span>42-17 ","@ Georgia Tech<span class=""green""> W </span>73-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,7,AP Poll,1
2,ALAAlabama(2),3-0,1463,-,"@ Ole Miss<span class=""green""> W </span>63-48 ","vs #3 Georgia<span class=""green""> W </span>41-24 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,7,AP Poll,2
3,UGAGeorgia(1),3-0,1430,-,"vs #14 Tennessee<span class=""green""> W </span>44-21 ","@ #2 Alabama<span class=""red""> L </span>41-24 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,7,AP Poll,3
4,NDNotre Dame,3-0,1317,1,"vs Florida State<span class=""green""> W </span>42-26 ","vs Louisville<span class=""green""> W </span>12-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,7,AP Poll,4
5,UNCNorth Carolina,3-0,1190,3,"vs #19 Virginia Tech<span class=""green""> W </span>56-45 ","@ Florida State<span class=""red""> L </span>31-28 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=40&h=40,North Carolina,7,AP Poll,5
6,OSUOhio State,0-0,1152,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&w=40&h=40,Ohio State,7,AP Poll,6
7,OKSTOklahoma State,3-0,1069,3, - ,@ Baylor PPD ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&w=40&h=40,Oklahoma State,7,AP Poll,7
8,CINCincinnati,3-0,971,3, - ,@ Tulsa PPD ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&w=40&h=40,Cincinnati,7,AP Poll,8
9,PSUPenn State,0-0,970,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&w=40&h=40,Penn State,7,AP Poll,9
10,FLAFlorida,2-1,904,6,"@ #21 Texas A&M<span class=""red""> L </span>41-38 ",vs LSU PPD ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=40&h=40,Florida,7,AP Poll,10
11,TA&MTexas A&M,2-1,883,10,"vs #4 Florida<span class=""green""> W </span>41-38 ","@ Mississippi State<span class=""green""> W </span>28-14 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&w=40&h=40,Texas A&M,7,AP Poll,11
12,OREOregon,0-0,817,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&w=40&h=40,Oregon,7,AP Poll,12
13,MIAMIMiami,3-1,789,6,"@ #1 Clemson<span class=""red""> L </span>42-17 ","vs Pittsburgh<span class=""green""> W </span>31-19 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png&w=40&h=40,Miami,7,AP Poll,13
14,BYUBYU,4-0,708,1,"vs UTSA<span class=""green""> W </span>27-20 ","@ Houston<span class=""green""> W </span>43-26 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&w=40&h=40,BYU,7,AP Poll,14
15,AUBAuburn,2-1,702,2,"vs Arkansas<span class=""green""> W </span>30-28 ","@ South Carolina<span class=""red""> L </span>30-22 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,7,AP Poll,15
16,WISCWisconsin,0-0,633,-, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=40&h=40,Wisconsin,7,AP Poll,16
17,SMUSMU,4-0,522,1, - ,"@ Tulane<span class=""green""> W </span>37-34 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&w=40&h=40,SMU,7,AP Poll,17
18,TENNTennessee,2-1,462,4,"@ #3 Georgia<span class=""red""> L </span>44-21 ","vs Kentucky<span class=""red""> L </span>34-7 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&w=40&h=40,Tennessee,7,AP Poll,18
19,MICHMichigan,0-0,417,1, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&w=40&h=40,Michigan,7,AP Poll,19
20,ISUIowa State,3-1,404,4,"vs Texas Tech<span class=""green""> W </span>31-15 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/66.png&w=40&h=40,Iowa State,7,AP Poll,20
21,ULLouisiana,3-0,341,2, - ,"vs Coastal Carolina<span class=""red""> L </span>30-27 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/309.png&w=40&h=40,Louisiana,7,AP Poll,21
22,KSUKansas State,3-1,301,NR,"@ TCU<span class=""green""> W </span>21-14 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2306.png&w=40&h=40,Kansas State,7,AP Poll,22
23,VTVirginia Tech,2-1,198,4,"@ #8 North Carolina<span class=""red""> L </span>56-45 ","vs Boston College<span class=""green""> W </span>40-14 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=40&h=40,Virginia Tech,7,AP Poll,23
24,MINNMinnesota,0-0,177,1, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&w=40&h=40,Minnesota,7,AP Poll,24
25,USCUSC,0-0,124,NR, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png&w=40&h=40,USC,7,AP Poll,25
1,CLEMClemson(54),5-0,1542,-,"@ Georgia Tech<span class=""green""> W </span>73-7 ","vs Syracuse<span class=""green""> W </span>47-21 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=40&h=40,Clemson,8,AP Poll,1
2,ALAAlabama(8),4-0,1494,-,"vs #3 Georgia<span class=""green""> W </span>41-24 ","@ Tennessee<span class=""green""> W </span>48-17 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png&w=40&h=40,Alabama,8,AP Poll,2
3,NDNotre Dame,4-0,1337,1,"vs Louisville<span class=""green""> W </span>12-7 ","@ Pittsburgh<span class=""green""> W </span>45-3 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=40&h=40,Notre Dame,8,AP Poll,3
4,UGAGeorgia,3-1,1300,1,"@ #2 Alabama<span class=""red""> L </span>41-24 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/61.png&w=40&h=40,Georgia,8,AP Poll,4
5,OSUOhio State,0-0,1223,1, - ,"vs Nebraska<span class=""green""> W </span>52-17 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&w=40&h=40,Ohio State,8,AP Poll,5
